,theta,eval_pow,eval_crit,z_sd,rho,nllh_sampling,nllh_choice,bic,success
5,0.014134943437219121,0.041518883094611596,-8.1375412273717131,0.00079671611618435667,0.1575470627343416,337.34062438718649,34.538796395010685,762.07664979504261,True
6,7.4819614966578101,1.8094045178857794,1.2183360586253862,5.8847847744356372,0.9999999999159157,16.178728596886682,1.0000902007914694,49.079832491188505,True
7,50.347790509926583,1.839659541999449,-1.282178708631263,24.149997533905307,0.34510530219477498,58.844337048042249,0.61068400149458546,139.93350519602848,False
8,0.016300549124051864,0.044331641215788045,11.355449008528382,0.00012737269994672618,0.11298536053113632,430.13718528755834,23.025890930140459,925.78525392595077,True
9,256.82937460718165,0.34181667162699308,-12.699387656263767,131.11918239080057,0.1613092550515276,28.171308354583189,1.2595205399699116,77.179466019754443,False
10,804.52384336759633,4.7327732310026764,-27.325225137924505,549.39287199863134,0.83267853204926467,19.585447401326864,1.5729358421236572,57.771978753692622,False
11,37.434919265166926,4.0689380272375769e-10,-0.013301603167784275,7.1724960413379186,0.050187314161489818,107.77378845998157,11.812562504957961,267.69161430316007,True
12,33.398421801742217,6.8720304099747424e-05,0.73557557964725639,0.74114263206661912,0.095079431293087519,76.744311908749637,23.025880930090459,222.25685958903023,False
13,26.468494221015764,0.71581345226596116,0.65916816896058195,13.209995213179852,0.10416662715637606,35.840104506374736,1.1385753519055637,94.259574769292698,True
14,15.833409016283966,7.8660437196186808e-09,-0.10263727143044882,7.7628325614256468,0.15079492665643884,84.818530680779503,8.4559739323203207,210.96301883913151,False
15,317791.24996031064,3.8914772407237397,64299.287612152853,4365989.9088847386,0.29295676693822859,183.77836500148092,3.294364784832136,394.44767462535822,False
16,35.766286766374748,1.7170010083279879e-10,0.061575735806380372,17.100451959384792,0.082237342246542222,70.673300640721891,4.3703424520422622,175.40026135066316,True
17,21.938006528370668,1.4563867313261495e-09,0.80709951377993172,11.517290201200499,0.134250159865868,41.607777184219835,3.8239631990825571,111.65789618340314,True
18,6.1647252938503971,6.7363814818634901e-10,0.14393726389082875,2.80190516958604,0.1230906759924302,44.735820623144043,1.805105623937038,114.1793910200427,True
19,26.540265157997311,0.24433981617910122,0.10729706082078927,12.945610438624422,0.085714913171029,56.835459151961999,4.0433153500046819,145.56841867792215,True
20,18.605226614696321,0.17237052682963283,0.46661390941033853,7.8263212280297934,0.13830355309494086,57.227229169638292,2.8943411444400993,143.65379676377788,False
21,28.040149884525515,0.6594532811990732,0.0024011269831473001,14.781499299391125,0.172839598245006,63.585131915637866,3.494828234936926,156.82291776691585,True
22,107176.28609499332,7.231883916328643,9389.9335302964555,46115.767864268688,0.16423377888083754,45.4885745437076,0.41721296303667771,112.83503811044338,False
23,30.917469808821991,4.0121836709088971e-10,-0.051319995464735785,16.046923957684982,0.10119975413530213,56.048486754056661,5.6143658234609166,146.35155608497561,True
24,30.687613349819458,0.2065686991157677,-13.769670591631389,0.52057596070198375,0.49999994985087626,2.079451541729846,1.0000050000287824e-05,11.090394889159146,True
25,1.3431885297280397,0.02381324070644824,-0.12927891468524191,1.2493722492495896,0.99999999739953616,16.003713618572359,2.5305223155602725,51.520330657746086,True
26,0.013394303435849551,0.025746040885628148,-1.0286872061882368,0.0042786931941314731,0.31511784189721459,1471.2700671081727,46.051721859980915,3059.6967544067884,True
27,11.024704936647762,0.23175069778074056,-0.25623743134950783,4.3002846998179649,0.039166624551963014,91.870706503346469,1.928226809415599,210.67346920973046,False
28,21.619811284474793,1.4534188474561022e-09,0.0064248286446560374,8.3475451552576381,0.055446107622904472,81.491095976759823,2.5616385133933384,195.61176003302995,True
29,21.773239193416924,2.5769213844353e-10,0.63233254798472405,2.7637620625832655,0.070502268311381455,53.941021674513955,6.0000300001726947e-05,133.03435295659008,True
30,14.835429331182908,6.6310637059208765e-09,0.83576113534867857,1.8838894345468753,0.11840923316461996,42.181407739536539,6.0000300001726947e-05,106.74961955206412,False
31,47.760050073619325,3.5193956642765817e-07,0.56545613665607153,19.799335100725038,0.055153571086316633,56.978610197990818,2.9452188643824844,145.12888715148813,False
32,4.4423227818001028,0.41579194136071818,0.057269807538183726,2.438348359702089,0.93939514430591342,27.738046447029962,1.440801663936689,77.391008670784899,True
33,18.388000434652383,2.3616107057590202e-08,0.86673641346373498,0.8106976343938217,0.36094727097490176,89.242459346171188,11.512975465220229,223.66495361699938,False
34,28.884337887392761,0.60169839642702971,1.9312397654038835,0.011627166030422395,0.21052895405838096,11.164724504767397,2.0000100000575649e-05,38.006960089380541,True
35,7.6635414460056177,0.54642084712949957,0.0038520589042478825,4.0049951610681607,0.23999878067444216,49.482989753987582,1.979263584149529,123.56017860149967,True
36,52.496148514878442,4.4635552158376832e-07,0.26172928995726719,25.74725485263043,0.077590394449855188,59.331468373603357,3.9344299919715553,150.79194805074792,False
37,0.01998275831576115,7.0493683479422988e-09,-0.11497480480673203,0.71964815592706288,0.93768058335435867,97.599395935326939,2.536554424163358,216.562383409088,True
38,17.206806077150354,0.48472912145459685,0.19932453081367046,8.5967571923001529,0.72368427840903071,69.651837693913222,2.6919383042606584,167.0742360687388,True
39,6.9841355929851083,1.1026212196623201e-06,-0.21468327647655938,3.6129244301382428,0.30345295071759548,55.265457614944616,1.9012464216829998,135.28168178338734,False
40,9.6589849484565278,1.9430598510429729,-0.69629331024123697,8.0274218467578677,0.99999999997938716,15.553479414281826,1.6421731729587923,48.843163963962063,True
41,17.913137878454357,2.0430131840293155,-1.9777017798559622,11.36790541157319,0.687507689064637,27.917573675154223,0.92154238326752824,74.33925466771953,False
42,50.972825129507243,1.7516159019129884,0.51739282500005768,27.441380007990333,0.2297517516608954,48.805206220636805,2.1241730101302676,122.33048127264465,False
