"","X","x1","x2","x3","p1","p2","p3","ev","ev_var","coefvar","entropy","std_prb","std_out","type","rare","HorL"
"1","S1G1",1,0,18,0.41,0.28,0.31,5.99,64.8091115233972,1.34397506563496,0.3426,0.0680685928555405,10.1159939369957,"w_hvar",FALSE,"H"
"2","S1G2",6,12,0,0.5,0.257894736842105,0.242105263157895,6.09473684210526,17.9962894248609,0.696043730682458,0.375124653739612,0.14455331266747,6,"w_lvar",FALSE,"H"
"3","S1G3",0,-22,-18,0.74,0.096842105263158,0.163157894736842,-5.06736842105263,73.0018552875696,1.68610442485759,0.583598891966759,0.353741119064087,11.7189305541646,"l_hvar",TRUE,"H"
"4","S1G4",-5,-13,0,0.71,0.118947368421053,0.171052631578947,-5.09631578947369,11.5194805194805,0.665978358157292,0.547507479224377,0.327241612490713,6.557438524302,"l_lvar",FALSE,"H"
"5","S2G1",2,0,18,0.29,0.412105263157895,0.297894736842105,5.94210526315789,62.3879612451041,1.32926036633938,0.342672022160665,0.0683326013968863,9.8657657246325,"w_hvar",FALSE,"H"
"6","S2G2",8,11,0,0.29,0.330526315789474,0.379473684210526,5.95578947368421,23.1937744794888,0.808623534757886,0.337347922437673,0.0448028408939645,5.68624070307733,"w_lvar",FALSE,"H"
"7","S2G3",-1,-23,0,0.71,0.19421052631579,0.0957894736842105,-5.17684210526316,76.6866625438054,1.69158957338343,0.550993351800554,0.329893936339561,13,"l_hvar",TRUE,"H"
"8","S2G4",-8,-11,0,0.23,0.297368421052632,0.472631578947368,-5.11105263157895,24.7485054627912,0.973339023332947,0.364708587257618,0.125250257333637,5.68624070307733,"l_lvar",FALSE,"H"
"9","S3G1",1,0,18,0.29,0.395789473684211,0.314210526315789,5.94578947368421,67.2704596990311,1.3794395386401,0.33947756232687,0.055426658719142,10.1159939369957,"w_hvar",FALSE,"H"
"10","S3G2",6,12,0,0.59,0.204210526315789,0.20578947368421,5.99052631578947,14.6938775510204,0.639886912756925,0.432151246537396,0.222281255624561,6,"w_lvar",FALSE,"H"
"11","S3G3",-1,-23,0,0.62,0.182105263157895,0.197894736842105,-4.80842105263158,74.4423830138116,1.79435200212501,0.456724653739612,0.248386111131721,13,"l_hvar",FALSE,"H"
"12","S3G4",-4,-12,0,0.59,0.207368421052632,0.202631578947368,-4.84842105263158,15.66687280973,0.81637713113739,0.432161218836565,0.22229247119868,6.11010092660779,"l_lvar",FALSE,"H"
"13","S4G1",2,24,0,0.62,0.191578947368421,0.188421052631579,5.83789473684211,79.5308183879612,1.5276063879175,0.456604986149585,0.248265636784726,13.3166562369588,"w_hvar",FALSE,"H"
"14","S4G2",8,11,0,0.47,0.2,0.33,5.96,18.9478787878788,0.730355054464554,0.3698,0.135030860670194,5.68624070307733,"w_lvar",FALSE,"H"
"15","S4G3",-2,-24,0,0.8,0.147368421052632,0.0526315789473684,-5.13684210526316,60.1937744794888,1.51035685731026,0.664487534626039,0.406911661968974,13.3166562369588,"l_hvar",TRUE,"H"
"16","S4G4",-4,-12,0,0.74,0.155789473684211,0.104210526315789,-4.82947368421053,10.7689136260565,0.679494808360431,0.582730193905817,0.353126649074014,6.11010092660779,"l_lvar",FALSE,"H"
"17","S5G1",0,1,18,0.41,0.27,0.32,6.03,67.4916512059369,1.36240966093521,0.3434,0.0709459888459759,10.1159939369957,"w_hvar",FALSE,"H"
"18","S5G2",6,12,0,0.53,0.229473684210526,0.240526315789474,5.93368421052632,16.8831168831169,0.692471468363183,0.39141108033241,0.170407961960521,6,"w_lvar",FALSE,"H"
"19","S5G3",-1,-23,0,0.65,0.194736842105263,0.155263157894737,-5.12894736842105,77.873869135283,1.72055133134972,0.484529085872576,0.274950679703872,13,"l_hvar",FALSE,"H"
"20","S5G4",-4,-12,0,0.56,0.229473684210526,0.210526315789474,-4.99368421052632,16.9235209235209,0.823804739636089,0.410579501385042,0.196527565562325,6.11010092660779,"l_lvar",FALSE,"H"
"21","S6G1",0,1,18,0.32,0.362105263157895,0.317894736842105,6.08421052631579,66.4897959183673,1.34021127367166,0.33457728531856,0.0249394465177781,10.1159939369957,"w_hvar",FALSE,"H"
"22","S6G2",6,12,0,0.62,0.192631578947368,0.187368421052632,6.03157894736842,13.5881261595547,0.611151340306815,0.456613850415513,0.248274562815222,6,"w_lvar",FALSE,"H"
"23","S6G3",0,-1,-18,0.5,0.231578947368421,0.268421052631579,-5.06315789473684,61.3452896310039,1.5469245773789,0.375678670360111,0.145508310805221,10.1159939369957,"l_hvar",FALSE,"H"
"24","S6G4",-3,-13,0,0.44,0.275789473684211,0.284210526315789,-4.90526315789474,26.556586270872,1.05056713946043,0.350435457063712,0.0924719517756021,6.80685928555405,"l_lvar",FALSE,"H"
"25","S7G1",2,24,0,0.62,0.198947368421053,0.181052631578947,6.01473684210526,79.5308183879612,1.48269251441905,0.456760110803324,0.24842179601435,13.3166562369588,"w_hvar",FALSE,"H"
"26","S7G2",8,11,0,0.35,0.292105263157895,0.357894736842105,6.01315789473684,21.6810966810967,0.77435127049167,0.335914127423823,0.0359220968937601,5.68624070307733,"w_lvar",FALSE,"H"
"27","S7G3",-1,-23,0,0.74,0.192631578947368,0.0673684210526316,-5.17052631578947,76.4021851164708,1.69051152922227,0.589245429362881,0.357709446359435,13,"l_hvar",TRUE,"H"
"28","S7G4",-5,-1,-18,0.8,0.147368421052632,0.0526315789473684,-5.09473684210526,10.899814471243,0.648019084895452,0.664487534626039,0.406911661968974,8.88819441731559,"l_lvar",TRUE,"H"
"29","S8G1",3,24,0,0.74,0.155789473684211,0.104210526315789,5.95894736842105,60.0463821892393,1.30039075567862,0.582730193905817,0.353126649074014,13.076696830622,"w_hvar",FALSE,"H"
"30","S8G2",7,13,0,0.44,0.233684210526316,0.326315789473684,6.1178947368421,23.6866625438054,0.795517863186413,0.354690304709141,0.10333675864814,6.50640709864771,"w_lvar",FALSE,"H"
"31","S8G3",-2,-24,0,0.65,0.160526315789474,0.189473684210526,-5.15263157894737,70.0727961287608,1.62459694767886,0.484168975069252,0.27462305232438,13.3166562369588,"l_hvar",FALSE,"H"
"32","S8G4",-4,-12,0,0.53,0.247894736842105,0.222105263157895,-5.09473684210526,18.1504844361987,0.836223472857081,0.391682548476454,0.170805759772791,6.11010092660779,"l_lvar",FALSE,"H"
"33","S9G1",1,0,18,0.44,0.242105263157895,0.317894736842105,6.1621052631579,65.5852401566687,1.31423776851169,0.353272022160665,0.0998466044173048,10.1159939369957,"w_hvar",FALSE,"H"
"34","S9G2",3,13,0,0.44,0.351578947368421,0.208421052631579,5.89052631578947,28.8827045969903,0.9123570424284,0.360647091412742,0.116862650319529,6.80685928555405,"w_lvar",FALSE,"H"
"35","S9G3",-1,-23,0,0.77,0.191052631578947,0.0389473684210526,-5.16421052631579,76.1158524015667,1.68940439265075,0.630918005540166,0.385736096448617,13,"l_hvar",TRUE,"H"
"36","S9G4",-3,-13,0,0.53,0.266315789473684,0.203684210526316,-5.05210526315789,24.2444856730571,0.974617257067184,0.39331135734072,0.17317335823877,6.80685928555405,"l_lvar",FALSE,"H"
"37","S10G1",1,23,18,0.74,0.111578947368421,0.148421052631579,5.97789473684211,71.8645640074212,1.4181074355581,0.582078670360111,0.352665093982079,11.5325625946708,"w_hvar",FALSE,"H"
"38","S10G2",5,13,0,0.47,0.282105263157895,0.247894736842105,6.01736842105263,23.2933415790559,0.80206450105727,0.361935180055402,0.119586468135129,6.557438524302,"w_lvar",FALSE,"H"
"39","S10G3",-1,-23,0,0.65,0.197368421052632,0.152631578947368,-5.18947368421053,77.873869135283,1.70048404908753,0.484750692520776,0.275152102651826,13,"l_hvar",FALSE,"H"
"40","S10G4",-5,-1,-18,0.77,0.173157894736842,0.0568421052631579,-5.04631578947368,11.3970315398887,0.66899281068474,0.626114681440443,0.382610342324348,8.88819441731559,"l_lvar",TRUE,"H"
"41","S11G1",2,0,18,0.38,0.327368421052632,0.292631578947368,6.02736842105263,60.5697794269223,1.29122003968903,0.337203324099723,0.0439885824185644,9.8657657246325,"w_hvar",FALSE,"H"
"42","S11G2",9,12,0,0.38,0.211578947368421,0.408421052631579,5.95894736842105,25.8979591836735,0.8540105218174,0.355973407202216,0.106395662197485,6.2449979983984,"w_lvar",FALSE,"H"
"43","S11G3",-1,-23,0,0.65,0.18421052631579,0.165789473684211,-4.88684210526316,74.788975383968,1.76966264870633,0.483919667590028,0.274396004213522,13,"l_hvar",FALSE,"H"
"44","S11G4",-5,-13,0,0.74,0.111578947368421,0.148421052631579,-5.15052631578947,10.721706864564,0.635741195361985,0.582078670360111,0.352665093982079,6.557438524302,"l_lvar",FALSE,"H"
"45","S12G1",2,24,0,0.62,0.196842105263158,0.183157894736842,5.96421052631579,79.5308183879612,1.49525326992419,0.456693628808864,0.248354882653363,13.3166562369588,"w_hvar",FALSE,"H"
"46","S12G2",6,12,0,0.56,0.218947368421053,0.221052631578947,5.98736842105263,15.7922077922078,0.663720822107513,0.410402216066482,0.196301913812816,6,"w_lvar",FALSE,"H"
"47","S12G3",0,-22,-18,0.74,0.06,0.2,-4.92,69.291280148423,1.69189804934292,0.5912,0.359072880253206,11.7189305541646,"l_hvar",TRUE,"H"
"48","S12G4",-4,-12,0,0.56,0.223157894736842,0.216842105263158,-4.91789473684211,16.9235209235209,0.836500360623632,0.410419944598338,0.196324490658966,6.11010092660779,"l_lvar",FALSE,"H"
"49","S13G1",2,24,0,0.65,0.192105263157895,0.157894736842105,5.91052631578947,79.5859457184936,1.50935721594106,0.484335180055402,0.27477431350298,13.3166562369588,"w_hvar",FALSE,"H"
"50","S13G2",5,13,0,0.56,0.237894736842105,0.202105263157895,5.89263157894737,19.3951762523191,0.74737329634732,0.411040443213296,0.197113051166029,6.557438524302,"w_lvar",FALSE,"H"
"51","S13G3",-2,-24,0,0.65,0.157894736842105,0.192105263157895,-5.08947368421053,66.6593730275615,1.60419714518526,0.484335180055402,0.27477431350298,13.3166562369588,"l_hvar",FALSE,"H"
