,T,s,T_batch,s_batch,nllh_sampling,bic,success
1,56,0.097776011975059002,55,0.032889905983991635,99.345415028419282,208.93875801564508,True
2,3,9.9999891752000085,1,1.6906196371841433,11.057587869686071,28.004053697705022,True
3,27,0.18288961830398337,1,0.14449872528360388,39.158364988069088,85.974012769116371,True
4,7,0.75408471263493615,5,0.2179788300132548,27.458897250046164,61.785768909062618,True
5,11,0.38802885205939686,6,0.48092114014020526,30.073095123522002,67.473313539303291,True
6,3,9.9995822186041252,1,9.9999939946596612,8.3184018983864831,22.525681755105847,True
7,17,0.27221890769416979,5,0.3613413475195576,54.98923751953042,118.38786027784278,True
8,16,0.20906155080342315,1,3.5835253602277444,25.34471845456833,58.473077505357914,True
9,18,0.21603566348927955,9,0.36217647556047788,26.729024188310518,60.785171668880331,True
10,4,1.9731230224082719,1,1.5569689692808364,15.075150496320253,36.332385899357135,True
11,93,0.072256192147936688,54,0.08348297101797901,75.704115729675308,162.815796408663,True
12,48,0.090126437649176855,46,0.059623146223982904,50.300967826701203,109.68852521794241,True
13,13,0.61338328436790168,9,0.575003510325097,27.242646836274758,62.606179693642353,True
14,39,0.1408467608955403,36,0.051254078413698861,80.277469145798705,170.32054213677014,True
15,15,0.38917456483033058,4,1.121349073233912,39.097096320762539,86.315078662617921,True
16,53,0.10282906924219611,51,0.059256977570918939,70.129182867176041,150.38355580040601,True
17,12,0.61931576288623047,7,0.8744136084648495,32.060054290369877,72.437874747459091,True
18,14,0.45607521445868948,7,0.69769862108884917,37.401266872111336,83.241549154574884,True
19,30,0.19842328789778146,19,0.21633356005661705,50.940476812374605,111.40530149434473,True
20,24,0.29268502992861051,14,0.37291937922795981,43.298939950235436,95.962142354719305,True
21,26,0.18783288409892623,7,0.64263865017365618,52.973651675273118,115.01250233685275,True
22,13,0.52897771019979611,6,1.0431885361217041,35.153851831277663,78.717088901337263,True
23,33,0.1407769303398563,16,0.22539508468648403,51.151423441584022,111.51318725514423,True
24,4,9.9999926592384281,2,1.4818119908546763,2.7726341235335314,8.3178569693068436,True
25,3,9.9999694467325426,1,9.9998747514287274,8.3183110083183163,22.41736553242896,True
26,41,0.1472521764281598,30,0.14644118711321136,50.137539766023728,110.29635012023996,True
27,27,0.20413004195284659,26,0.069820138724866518,66.607623398027272,142.44548782973706,True
28,72,0.09201558040613593,35,0.11871313917491591,74.586987996061467,160.1764924132124,True
29,32,0.27543145029925409,15,0.4148063814674432,48.83239454030803,107.72566492340093,True
30,18,0.40334467571581756,8,0.78557468617977988,39.318776724573119,87.592227078102653,True
31,39,0.17135313617320552,27,0.17052339390356974,50.885513079190787,111.8835177690782,True
32,9,0.56936242472434917,1,2.7128195332205407,25.003536233046809,57.620397445634254,True
33,35,0.11192918562519225,32,0.018395726954010254,73.386032435117528,155.63369846792168,True
34,14,0.47726726793948071,8,0.34071925468794279,15.267753101759947,36.806494635378193,True
35,36,0.082459010875477037,35,0.036176585734532439,52.846798001980574,113.94786477405133,True
36,28,0.26652925474962252,11,0.72949540484638331,42.471141081672293,94.646342691183818,True
37,6,0.70936476388820391,1,2.7080903835517418,16.938367042743877,40.392927161530721,True
38,16,0.64744421972351829,1,0.17859154755069778,68.57262862645166,146.09993088185973,True
39,34,0.10991776718712813,12,0.099808788739164489,55.037310380077862,118.45393024420858,True
40,3,9.9999334097756645,1,9.9999602706941779,8.3183109948394147,22.41736550547116,True
41,5,0.95044408187146701,1,0.80295841672109858,23.959106217062097,54.582621454474598,True
42,35,0.083032954578835,33,0.041732221465327873,50.158187956752727,108.50506503794965,True
