,gid,domain,pairtype,ev_diff,L_id,L_x1,L_x2,L_x3,L_p1,L_p2,L_p3,L_ev,L_ev_var,H_id,H_x1,H_x2,H_x3,H_p1,H_p2,H_p3,H_ev,H_ev_var,prop_H_all,prop_H_all_old,prop_H_all_yng,prop_H_g1,prop_H_g1_old,prop_H_g1_yng,prop_H_g2,prop_H_g2_old,prop_H_g2_yng,ss_all,ss_all_old,ss_all_yng,ss_med_all,ss_med_old,ss_med_yng,ss_g1,ss_g1_old,ss_g1_yng,ss_g2,ss_g2_old,ss_g2_yng,sf_all,sf_all_old,sf_all_yng,sf_g1,sf_g1_old,sf_g1_yng,sf_g2,sf_g2_old,sf_g2_yng
2,S18G2,gain,HL-LH,0.901052631579,23.0,0.0,1.0,18.0,0.5,0.226315789474,0.273684210526,5.15263157895,62.8907441765,33.0,6.0,12.0,0.0,0.59,0.209473684211,0.200526315789,6.05368421053,14.693877551,0.666666666667,0.529411764706,0.8,0.533333333333,0.375,0.714285714286,0.703703703704,0.576923076923,0.821428571429,25.6714285714,25.1428571429,26.2,17.0,14.0,19.0,18.0,12.6666666667,24.8571428571,27.9444444444,29.4615384615,26.5357142857,0.25791723171,0.272907002669,0.242927460751,0.824675632148,0.888888888889,0.742115730624,0.089988816765,0.059682503592,0.118130393283
50,S6G2,gain,HL-LH,0.908421052632,24.0,1.0,23.0,0.0,0.62,0.195789473684,0.184210526316,5.12315789474,77.5289631004,33.0,6.0,12.0,0.0,0.62,0.192631578947,0.187368421053,6.03157894737,13.5881261596,0.724637681159,0.764705882353,0.685714285714,0.666666666667,0.75,0.571428571429,0.740740740741,0.769230769231,0.714285714286,23.5857142857,21.0,26.1714285714,16.0,14.0,19.0,11.5,9.22222222222,14.4285714286,27.1666666667,25.0769230769,29.1071428571,0.272462099216,0.298624861485,0.246299336947,0.803914835165,0.833333333333,0.766091051805,0.114994621897,0.113533467383,0.116351408232
59,S21G2,gain,HL-LH,0.922105263158,24.0,1.0,23.0,0.0,0.8,0.189473684211,0.010526315789,5.15789473684,72.8264275407,36.0,7.0,23.0,0.0,0.77,0.03,0.2,6.08,16.5920428778,0.80701754386,0.785714285714,0.827586206897,0.714285714286,0.857142857143,0.571428571429,0.837209302326,0.761904761905,0.909090909091,26.2142857143,27.5428571429,24.8857142857,16.5,16.0,18.0,15.625,14.3333333333,17.2857142857,29.3518518519,32.1153846154,26.7857142857,0.267820036218,0.282675827873,0.253954630674,0.790348834042,0.786184210526,0.794513457557,0.101560873274,0.114839700321,0.08943672684
42,S14G2,gain,HL-LH,0.992631578947,24.0,1.0,23.0,0.0,0.77,0.191052631579,0.038947368421,5.16421052632,76.1158524016,43.0,4.0,2.0,18.0,0.71,0.118947368421,0.171052631579,6.15684210526,29.6400742115,0.814285714286,0.742857142857,0.885714285714,0.6875,0.666666666667,0.714285714286,0.851851851852,0.769230769231,0.928571428571,27.9857142857,26.3428571429,29.6285714286,20.0,18.0,22.0,21.125,12.3333333333,32.4285714286,30.0185185185,31.1923076923,28.9285714286,0.264307457226,0.28591689179,0.242698022661,0.858342352092,0.905291005291,0.79797979798,0.088297118005,0.071518160194,0.103877578831
82,S3G2,gain,HL-LH,1.02105263158,27.0,2.0,24.0,0.0,0.71,0.14789473684,0.14210526315,4.96947368421,61.6334776335,33.0,6.0,12.0,0.0,0.59,0.20421052631,0.20578947368,5.99052631579,14.693877551,0.62857142857,0.57142857142,0.68571428571,0.625,0.66666666666,0.57142857142,0.62962962963,0.53846153846,0.71428571428,24.1285714286,22.5714285714,25.6857142857,19.5,17.0,24.0,11.5,10.3333333333,13.0,27.8703703704,26.8076923077,28.8571428571,0.29797900778,0.31215174942,0.28380626614,0.91180555555,0.91111111111,0.91269841269,0.11610447511,0.10481966268,0.1265832295
74,S1G2,gain,HL-LH,1.02631578947,24.0,1.0,23.0,0.0,0.65,0.19210526315,0.15789473684,5.06842105263,77.8738691353,33.0,6.0,12.0,0.0,0.5,0.25789473684,0.24210526315,6.09473684211,17.9962894249,0.72463768115,0.73529411764,0.71428571428,0.66666666666,0.625,0.71428571428,0.74074074074,0.76923076923,0.71428571428,27.3857142857,24.4857142857,30.2857142857,19.0,17.0,23.0,17.8125,9.44444444444,28.5714285714,30.2222222222,29.6923076923,30.7142857143,0.33637545147,0.36483462621,0.30791627674,0.92972488038,0.88888888888,0.98222829801,0.16056821328,0.18343122759,0.13933827142
71,S15G2,gain,HL-LH,1.03052631579,24.0,1.0,23.0,0.0,0.62,0.18736842105,0.19263157894,4.92947368421,74.4423830138,35.0,7.0,13.0,0.0,0.74,0.06,0.2,5.96,10.7342815914,0.73529411764,0.61764705882,0.85294117647,0.66666666666,0.75,0.57142857142,0.75471698113,0.57692307692,0.92592592592,26.9857142857,23.1428571429,30.8285714286,19.0,18.0,20.0,17.25,9.44444444444,27.2857142857,29.8703703704,27.8846153846,31.7142857143,0.2475201002,0.26677549479,0.22826470561,0.78824476159,0.83333333333,0.73027374079,0.08730538571,0.0706593199,0.10276244681
31,S7G2,gain,HL-LH,1.03526315789,24.0,1.0,23.0,0.0,0.62,0.18947368421,0.19052631578,4.97789473684,74.4423830138,37.0,8.0,11.0,0.0,0.35,0.29210526315,0.35789473684,6.01315789474,21.6810966811,0.7,0.62857142857,0.77142857142,0.6875,0.66666666666,0.71428571428,0.7037037037,0.61538461538,0.78571428571,27.8428571429,26.4857142857,29.2,21.0,17.0,22.0,13.875,11.8888888889,16.4285714286,31.9814814815,31.5384615385,32.3928571429,0.28146058461,0.31712255947,0.24579860975,0.98958333333,1.0,0.97619047619,0.07164643684,0.08074190698,0.06320064314
55,S13G2,gain,HL-LH,1.06210526316,27.0,2.0,24.0,0.0,0.71,0.14210526315,0.14789473684,4.83052631579,61.6334776335,31.0,5.0,13.0,0.0,0.56,0.23789473684,0.20210526315,5.89263157895,19.3951762523,0.68571428571,0.57142857142,0.8,0.6875,0.55555555555,0.85714285714,0.68518518518,0.57692307692,0.78571428571,28.0428571429,24.1714285714,31.9142857143,19.5,18.0,21.0,18.9375,11.3333333333,28.7142857143,30.7407407407,28.6153846154,32.7142857143,0.27819040768,0.33182166688,0.22455914848,0.9343798003,1.0,0.85001097213,0.08376392098,0.10052916695,0.06819619257
27,S12G2,gain,HL-LH,1.09473684211,24.0,1.0,23.0,0.0,0.68,0.18315789473,0.13684210526,4.89263157895,73.9111523397,33.0,6.0,12.0,0.0,0.56,0.21894736842,0.22105263157,5.98736842105,15.7922077922,0.73913043478,0.61764705882,0.85714285714,0.625,0.44444444444,0.85714285714,0.77358490566,0.68,0.85714285714,25.9,22.9428571429,28.8571428571,19.0,14.0,21.0,14.875,12.4444444444,18.0,29.1666666667,26.5769230769,31.5714285714,0.30824996316,0.31987250403,0.29695949489,0.97516025641,0.98148148148,0.96703296703,0.10691855388,0.08169327214,0.12944112686
