,T,s,T_batch,s_batch,nllh_sampling,bic,success
1,55,0.047825383885810174,52,0.030358326430291641,100.97429131897994,212.19651059676639,True
2,3,9.9999952770447198,1,2.4154979000683987,11.768158593111039,29.425195144554959,True
3,20,0.27920860720205526,1,0.22881942902721902,38.556606057911971,84.770494908802135,True
4,5,0.99047750512640897,3,0.31245006147757093,26.507023629671767,59.882021668313826,True
5,7,0.57256439135307668,5,0.37944365544343522,30.394063140686072,68.115249573631431,True
6,3,1.8860466508498599,1,9.9999882301553438,9.3068492009857025,24.502576360304285,True
7,17,0.15971829663326881,4,0.35652902279115606,57.225109341770185,122.85960392232231,True
8,17,0.17777796265531204,1,3.7147726306794038,24.969674267811673,57.722989131844599,True
9,9,0.24745708928864349,8,0.2925520680620764,26.627616141822546,60.582355575904387,True
10,4,1.7783379087034108,1,1.9211470296415745,15.565512613160848,37.313110133038329,True
11,45,0.099618071917985523,44,0.097102845726716014,72.337626857719599,156.08281866475158,True
12,44,0.023096560731339182,43,0.049837731044811408,49.398155800358083,107.88290116525617,True
13,9,1.1787089335674437,8,0.51334969654930962,27.254614376648199,62.630114774389234,True
14,27,0.12463406399565422,26,0.062756145027307059,80.953019712413919,171.67164327000057,True
15,12,0.36234611847307441,4,0.82979777455435499,41.112281759497051,90.345449540086946,True
16,53,0.027456371882556424,52,0.046678207979560252,71.304731022726187,152.73465211150631,True
17,9,0.9645699079725194,6,0.8036531327392531,33.108948165915955,74.535662498551247,True
18,10,0.47580594560713274,6,0.74573117804034605,37.446184983653531,83.331385377659274,True
19,20,0.16647954778999272,19,0.15724557740958797,54.800176555743576,119.12470098108267,True
20,16,0.27673393691323844,14,0.25810196729676571,47.596329738247697,104.55692193074384,True
21,15,0.26685174965037395,7,0.48613230010760289,53.460375316845344,115.9859496199972,True
22,10,0.47957132993428941,5,1.1254840561502892,36.859810796849267,82.129006832480471,True
23,16,0.14796688274556244,14,0.21188244148190377,51.042387139587071,111.29511465115033,True
24,3,9.9999172453321954,2,9.9999761931122322,2.0795777469723635,6.9317442161845086,False
25,2,9.9999047349433763,1,9.9999957072657111,8.3185833751940432,22.417910266180414,True
26,23,0.19903413150191884,22,0.18444502377041933,50.672203508489417,111.36567760517134,True
27,23,0.11694347188716457,22,0.065959531005485905,68.430601286997643,146.0914436076778,True
28,40,0.081772287908842972,33,0.1107147678291929,74.618283963854708,160.23908434879888,True
29,23,0.20651594118416502,15,0.30559665854752083,54.45400491261023,118.96888566800533,True
30,13,0.51001998292195405,8,0.57504722347465664,40.658782309480465,90.272238247917343,True
31,25,0.15077721166201877,24,0.1566590245129032,54.543594255232449,119.19968012116152,True
32,9,0.54475460764510086,1,2.8690011611879669,25.155892625583803,57.925110230708242,True
33,25,0.10727276828892895,24,0.015338392946141607,71.256196790115354,151.37402717791733,True
34,10,0.75856886373696797,7,0.30235646160090868,15.435736049594659,37.142460531047618,True
35,33,0.032961828367004488,32,0.025314840753416654,50.734850715334751,109.72397020075968,True
36,18,0.34820305864341339,11,0.53265573679190403,43.153481040806852,96.011022609452937,True
37,5,1.0757912859771723,1,2.9502164570681915,15.689404588664207,37.895002253371381,True
38,16,0.57879602512840256,1,0.229174351403681,70.589460907489155,150.13359544393472,True
39,25,0.085588696549643628,10,0.089879513314662374,54.184788632954117,116.74888674996109,True
40,2,9.9999547289349735,1,9.9999963353481185,8.3185833612331965,22.41791023825872,True
41,4,1.3668227321788176,1,1.1499191615106099,22.325800867751255,51.316010755852915,True
42,17,0.078485019225671068,16,0.062645866210190998,48.380047029619199,104.94878318368259,True
